site_name,index,mean,max,min,stdev,IQR,MK trend_value,MK_trend,MK_slope,MK_p_value,MK_intercept,cp_t,cp_pr_t,cp_s,cp_pr_s,site_location_name,latitude,longitude,bioregion_name
SAAEYB0024,FVC-PV,32.169,45.083,21.042,4.869,6.083,0.157,increasing,0.022,0.001776426,30.022,"['2018-10-01', '2021-11-01', '2013-11-01']","[0.956, 0.951, 0.888]","['2020-10-31', '2017-05-02', '2023-06-02']","[0.071, 0.071, 0.068]",SAAEYB0024,-33.76161029,136.0674051,EYB
SAAEYB0025,FVC-PV,42.458,49.667,31.167,3.467,4.5,0.1,increasing,0.009,0.045906982,42.739,"['2020-06-01', '2019-01-31', '2024-03-01']","[0.984, 0.972, 0.176]","['2016-03-01', '2017-03-02', '2012-01-31']","[0.793, 0.761, 0.713]",SAAEYB0025,-34.66208653,135.3709543,EYB
SAAEYB0026,FVC-PV,44.585,67,29.833,5.561,6.187,0.078,no trend,0.012,0.12035689,43.346,"['2013-05-02', '2011-04-02', '2020-09-30']","[0.726, 0.534, 0.521]","['2012-10-31', '2011-11-01', '2022-10-01']","[0.991, 0.549, 0.306]",SAAEYB0026,-34.67025657,135.3924635,EYB
SAAEYB0027,FVC-PV,46.384,60,36.417,4.097,5.292,-0.066,no trend,-0.007,0.188088958,46.118,"['2013-07-02', '2014-12-01', '2012-10-31']","[0.989, 0.989, 0.909]","[2010.75, 2024.3333740234375, nan]","[0.8107084035873413, 0.7740000486373901, nan]",SAAEYB0027,-34.6799485,135.3910658,EYB
SAAEYB0028,FVC-PV,7.053,16.667,0.167,3.188,3.892,0.424,increasing,0.035,0,3.468,"['2022-01-31', '2011-08-01', '2010-09-01']","[1.0, 0.889, 0.679]","['2021-06-02', '2020-03-01', '2016-07-31']","[0.543, 0.493, 0.382]",SAAEYB0028,-34.68853799,135.387597,EYB
SAAEYB0029,FVC-PV,22.152,36.417,2.583,6.994,8.375,-0.408,decreasing,-0.068,4.44E-16,29.145,"['2019-12-01', '2018-03-02', '2021-01-31']","[1.0, 0.998, 0.989]","['2019-12-01', '2021-11-01', '2023-04-02']","[0.973, 0.814, 0.035]",SAAEYB0029,-33.26579387,136.9371981,EYB
SAAEYB0030,FVC-PV,28.708,39,14.833,5.115,6.25,-0.011,no trend,-0.001,0.832012116,28.914,"['2020-11-30', '2018-11-01', '2010-10-01']","[1.0, 0.998, 0.795]","['2010-09-01', '2012-10-31', '2022-08-01']","[0.245, 0.036, 0.015]",SAAEYB0030,-33.19091907,136.8234574,EYB
SAAEYB0031,FVC-PV,28.978,38.333,18,4.391,6.458,-0.04,no trend,-0.005,0.424596339,29.257,"['2018-03-02', '2020-11-30', '2016-04-01']","[1.0, 1.0, 0.989]","[nan, nan, nan]","[nan, nan, nan]",SAAEYB0031,-33.20810817,136.9007118,EYB
SAAEYB0032,FVC-PV,25.518,39.167,4.167,7.106,8.75,-0.323,decreasing,-0.058,1.31E-10,31.81,"['2019-08-01', '2021-06-02', '2022-12-01']","[0.973, 0.8, 0.658]","['2020-06-01', '2021-07-02', '2019-01-31']","[0.791, 0.69, 0.663]",SAAEYB0032,-33.2023505,136.8494437,EYB
SAAEYB0033,FVC-PV,34.486,47,22.667,5.128,7.208,0.009,no trend,0.001,0.856445306,34.222,"['2020-11-30', '2018-04-02', '2016-10-31']","[0.991, 0.93, 0.662]","['2020-05-01', '2017-08-01', '2021-06-02']","[0.592, 0.521, 0.411]",SAAEYB0033,-33.22334811,136.9240633,EYB
SAAEYB0034,FVC-PV,18.575,28.333,8.167,4.499,6.583,0.108,increasing,0.016,0.032583274,16.921,"['2016-08-31', '2021-08-01', '2022-04-02']","[0.918, 0.88, 0.568]","['2012-03-01', '2019-05-02', '2021-05-02']","[0.888, 0.428, 0.34]",,-31.93883511,132.3388444,EYB
SAAEYB0035,FVC-PV,36.523,48.667,27.083,4.326,6.25,-0.09,no trend,-0.012,0.073809525,37.782,"['2023-11-01', '2017-12-01', '2021-06-02']","[0.952, 0.919, 0.897]","['2011-01-31', '2016-03-01', '2017-04-02']","[0.845, 0.468, 0.369]",SAAEYB0035,-31.983078,132.211062,EYB
SAAEYB0036,FVC-PV,10.762,34.667,3.875,3.844,3.792,-0.088,no trend,-0.008,0.080680214,11.086,"['2019-04-02', '2012-01-31', '2019-12-01']","[0.652, 0.566, 0.42]","['2020-11-30', '2020-07-01', '2019-04-02']","[0.747, 0.672, 0.344]",SAAEYB0036,-31.994197,132.374271,EYB
SAAEYB0037,FVC-PV,45.793,59.75,33.667,4.748,6.375,0.293,increasing,0.039,5.71E-09,42.214,"['2020-11-30', '2014-10-01', '2016-09-30']","[0.998, 0.857, 0.682]","['2020-04-01', '2014-06-02', '2012-06-01']","[0.364, 0.293, 0.275]",,-35.16320005,137.1067454,EYB
