site_name,index,mean,max,min,stdev,IQR,MK trend_value,MK_trend,MK_slope,MK_p_value,MK_intercept,cp_t,cp_pr_t,cp_s,cp_pr_s,site_location_name,latitude,longitude,bioregion_name
SAANUL0004,FVC-PV,10.919,23,1.5,4.623,6.667,-0.065,no trend,-0.009,0.199208536,11.015,"['2019-08-01', '2020-08-31', '2012-03-01']","[0.947, 0.907, 0.857]","['2016-10-31', '2018-01-31', '2010-08-01']","[0.925, 0.853, 0.116]",SAANUL0004,-31.51117778,131.3066306,NUL
SAANUL0005,FVC-PV,14.963,51.667,0.333,10.546,12.75,0.079,no trend,0.02,0.115103055,10.573,"['2021-01-01', '2021-11-01', '2023-07-02']","[1.0, 0.914, 0.907]","['2014-10-01', '2014-03-02', '2011-01-31']","[0.993, 0.988, 0.892]",SAANUL0005,-31.820043,132.287988,NUL
SAARIV0001,FVC-PV,50.261,65.5,40,6.088,9.333,-0.231,decreasing,-0.041,4.38E-06,53.605,"['2011-01-01', '2018-01-31', '2014-07-02']","[0.864, 0.8, 0.641]","['2012-03-01', '2019-01-31', '2019-10-01']","[0.748, 0.55, 0.538]",SAARIV0001,-34.08430278,140.7576028,RIV
SAARIV0002,FVC-PV,47.521,61.208,37.417,5.539,8.25,-0.238,decreasing,-0.04,2.28E-06,50.574,"['2018-03-02', '2014-07-02', '2010-12-01']","[0.929, 0.802, 0.667]","['2010-08-01', '2011-03-02', '2019-01-31']","[0.816, 0.247, 0.142]",SAARIV0002,-34.08334167,140.7584778,RIV
SAARIV0003,FVC-PV,39.401,54.917,27.917,6.38,9.458,-0.117,decreasing,-0.023,0.020515062,40.869,"['2011-01-01', '2018-01-01', '2012-07-31']","[0.983, 0.868, 0.494]","['2023-04-02', '2022-08-01', '2012-03-01']","[0.997, 0.993, 0.469]",SAARIV0003,-34.08388889,140.7602,RIV
SAARIV0004,FVC-PV,40.151,73.583,17.667,7.99,9.167,0.441,increasing,0.085,0,31.941,"['2011-03-02', '2022-09-01', '2020-07-31']","[1.0, 0.843, 0.671]","['2012-03-01', '2023-07-02', '2022-11-01']","[1.0, 0.999, 0.99]",SAARIV0004,-34.26156667,140.3868611,RIV
SAARIV0005,FVC-PV,48.499,69.25,24.25,6.873,9.75,0.265,increasing,0.053,1.39E-07,44.142,"['2011-01-31', '2020-04-01', '2014-01-31']","[0.999, 0.936, 0.863]","['2012-03-01', '2022-10-01', '2023-05-02']","[1.0, 0.996, 0.994]",SAARIV0005,-34.26347222,140.3877333,RIV
SAARIV0006,FVC-PV,38.269,70.167,14,7.961,9.958,0.33,increasing,0.07,5.22E-11,31.588,"['2012-06-01', '2011-01-31', '2022-08-01']","[0.749, 0.667, 0.632]","['2012-03-01', '2022-11-01', '2023-06-02']","[0.998, 0.93, 0.662]",SAARIV0006,-34.26363333,140.3898528,RIV
SAARIV0007,FVC-PV,32.032,60.5,19.583,7.348,10.042,-0.029,no trend,-0.006,0.564360785,31.154,"['2016-08-31', '2022-09-01', '2018-03-02']","[0.937, 0.651, 0.553]","['2023-06-02', '2022-09-01', '2010-09-01']","[0.986, 0.967, 0.759]",SAARIV0007,-34.15945,139.9267639,RIV
SAARIV0008,FVC-PV,29.798,66.667,18.333,7.256,8.417,0.055,no trend,0.011,0.271178735,27.752,"['2022-09-01', '2018-01-31', '2016-08-31']","[0.931, 0.639, 0.491]","['2023-04-02', '2022-07-02', '2012-03-01']","[0.994, 0.983, 0.366]",SAARIV0008,-34.15914722,139.9254167,RIV
SAARIV0009,FVC-PV,24.155,66.917,12.667,7.542,7.958,0.03,no trend,0.006,0.555121888,22.387,"['2012-01-01', '2022-09-01', '2010-09-01']","[0.973, 0.694, 0.622]","['2022-08-01', '2023-03-02', '2023-11-01']","[1.0, 0.995, 0.315]",SAARIV0009,-34.15837778,139.9278611,RIV
SAARIV0010,FVC-PV,52.922,79.583,39.667,8.055,10.333,-0.089,no trend,-0.021,0.076057931,53.771,"['2022-11-01', '2024-01-01', '2014-12-01']","[1.0, 0.667, 0.605]","['2011-07-02', '2010-08-01', '2013-03-02']","[0.998, 0.997, 0.428]",SAARIV0010,-34.35835328,140.5702172,RIV
SAARIV0011,FVC-PV,32.014,52,17,5.875,7.333,0.13,increasing,0.024,0.010017959,29.714,"['2016-07-01', '2018-03-02', '2022-01-31']","[0.807, 0.577, 0.572]","['2023-04-02', '2022-09-01', '2010-08-01']","[0.997, 0.992, 0.879]",,-34.35927478,140.5642294,RIV
SAARIV0012,FVC-PV,21.69,47,8.583,8.09,10.667,0.021,no trend,0.005,0.684221683,20.421,"['2022-11-01', '2011-12-01', '2018-06-02']","[1.0, 0.68, 0.601]","['2012-11-30', '2014-08-01', '2014-01-01']","[0.678, 0.499, 0.407]",,-34.42246716,140.5050336,RIV
SAARIV0013,FVC-PV,23.535,52.5,10.333,8.526,11.833,0.064,no trend,0.016,0.203187248,21.421,"['2022-07-02', '2024-03-01', '2012-04-01']","[0.999, 0.996, 0.416]","['2011-03-02', '2012-09-30', '2022-06-02']","[0.365, 0.323, 0.185]",,-34.43462928,140.5061455,RIV
SAARIV0014,FVC-PV,38.963,55.083,27.25,5.545,7.167,-0.154,decreasing,-0.025,0.002248251,40.685,"['2012-04-01', '2018-01-31', '2016-10-31']","[1.0, 0.835, 0.649]","['2010-08-01', '2011-07-02', '2023-05-02']","[0.667, 0.666, 0.332]",,-34.32704282,140.5626547,RIV
SAARIV0015,FVC-PV,35.413,62.056,18,9.161,13.333,-0.06,no trend,-0.017,0.235434277,36.538,"['2022-01-01', '2018-09-01', '2013-10-01']","[0.982, 0.908, 0.903]","['2010-08-01', '2011-07-02', '2012-01-31']","[1.0, 1.0, 0.099]",,-34.33971115,140.5334088,RIV
SAASTP0001,FVC-PV,5.478,27.583,0,6.048,7.042,-0.019,no trend,0,0.699639627,2.167,"['2016-05-01', '2017-04-02', '2011-04-02']","[0.998, 0.995, 0.667]","['2021-09-01', '2021-01-31', '2010-08-01']","[0.949, 0.943, 0.422]",SAASTP0001,-26.27817222,134.9992,STP
SAASTP0002,FVC-PV,7.726,31.833,0,8.19,12.583,0.066,no trend,0.006,0.190857063,2.922,"['2011-04-02', '2017-04-02', '2016-03-01']","[1.0, 0.984, 0.981]","['2023-05-02', '2021-10-01', '2020-07-31']","[0.5, 0.287, 0.186]",SAASTP0002,-26.27460833,135.0155972,STP
SAASTP0003,FVC-PV,0.994,2.167,0,0.679,1.25,0.497,increasing,0.009,0,0.187,"['2022-01-31', '2014-06-02', '2020-07-31']","[0.998, 0.72, 0.378]","['2013-01-01', '2018-10-01', '2016-07-31']","[0.912, 0.876, 0.815]",SAASTP0003,-26.2739,135.0729667,STP
SAASTP0004,FVC-PV,8.513,41.417,0.5,8.387,11.25,-0.101,decreasing,-0.017,0.044777785,6.15,"['2012-10-31', '2014-12-01', '2017-04-02']","[0.935, 0.618, 0.521]","['2011-01-31', '2012-06-01', '2016-03-01']","[0.998, 0.48, 0.281]",SAASTP0004,-26.08814222,135.4522019,STP
SAASTP0005,FVC-PV,10.397,56,1.333,9.748,8.667,-0.128,decreasing,-0.019,0.011080538,8.212,"['2022-05-02', '2012-10-31', '2021-03-02']","[0.998, 0.993, 0.97]","['2021-04-02', '2022-01-01', '2012-10-31']","[0.954, 0.858, 0.852]",SAASTP0005,-26.09590833,135.4235033,STP
SAASTP0006,FVC-PV,14.59,70.5,0,14.966,18.292,-0.088,no trend,-0.022,0.080590086,11.099,"['2021-04-02', '2022-10-01', '2018-01-31']","[1.0, 0.996, 0.936]","['2011-08-01', '2012-07-01', '2013-06-02']","[0.968, 0.924, 0.848]",SAASTP0006,-26.340247,135.873785,STP
SAASTP0007,FVC-PV,10.093,48.125,0,9.699,10.958,-0.139,decreasing,-0.027,0.00559323,9.445,"['2010-09-01', '2012-09-30', '2018-01-01']","[0.999, 0.99, 0.736]","['2021-03-02', '2021-10-01', '2022-06-02']","[0.959, 0.953, 0.827]",SAASTP0007,-26.35504167,135.8165917,STP
SAASTP0008,FVC-PV,3.034,10.333,0,1.945,1.833,-0.028,no trend,0,0.576314347,2.167,"['2021-03-02', '2014-05-02', '2016-09-30']","[0.997, 0.597, 0.395]","['2011-08-01', '2012-07-31', '2015-01-01']","[1.0, 0.667, 0.582]",SAASTP0008,-26.36887778,135.7887611,STP
SAASTP0009,FVC-PV,14.71,54.333,1.333,12.203,19.5,-0.26,decreasing,-0.072,2.40E-07,18.065,"['2018-03-02', '2012-10-31', '2012-04-01']","[0.894, 0.666, 0.563]","['2022-01-31', '2021-04-02', '2016-08-31']","[0.667, 0.661, 0.335]",SAASTP0009,-26.35025278,135.7046278,STP
SAASTP0010,FVC-PV,1.362,4.75,0,0.811,1.083,0.42,increasing,0.008,0,0.583,"['2014-11-01', '2021-10-01', '2017-03-02']","[0.999, 0.952, 0.495]","['2011-09-01', '2013-01-31', '2011-01-31']","[1.0, 0.981, 0.876]",SAASTP0010,-26.36668333,135.5817111,STP
SAASTP0011,FVC-PV,1.759,7.333,0,1.174,0.875,0.302,increasing,0.007,1.20E-09,1.069,"['2016-11-30', '2015-12-01', '2021-10-01']","[0.973, 0.935, 0.648]","['2011-09-01', '2013-01-31', '2016-11-30']","[0.998, 0.525, 0.472]",SAASTP0011,-26.4805,135.4576472,STP
SAASTP0012,FVC-PV,2.726,13.167,0,2.784,1.917,0.122,increasing,0.005,0.015050556,1.591,"['2011-05-02', '2016-01-01', '2016-09-30']","[0.999, 0.662, 0.66]","['2011-01-01', '2021-01-31', '2021-09-01']","[0.835, 0.656, 0.656]",SAASTP0012,-26.62279444,135.4337278,STP
SAASTP0013,FVC-PV,2.209,10,0,1.649,1.833,0.136,increasing,0.005,0.006606492,1.536,"['2011-05-02', '2015-12-01', '2017-04-02']","[1.0, 0.662, 0.66]","['2011-01-01', '2021-09-01', '2021-01-01']","[0.934, 0.653, 0.637]",SAASTP0013,-26.57410278,135.3073917,STP
SAASTP0014,FVC-PV,3.4,11.833,0.333,2.423,2.333,0.072,no trend,0.002,0.154028994,2.115,"['2015-12-01', '2016-10-31', '2011-06-02']","[0.999, 0.998, 0.586]","['2011-03-02', '2022-07-02', '2021-12-01']","[0.812, 0.669, 0.665]",SAASTP0014,-27.86115,136.6493694,STP
SAASTP0015,FVC-PV,2.547,7.667,0,1.415,1.5,0.033,no trend,0,0.503180495,2,"['2015-12-01', '2016-10-31', '2011-05-02']","[1.0, 0.999, 0.831]","['2011-01-31', '2013-01-31', '2022-07-02']","[0.839, 0.717, 0.214]",SAASTP0015,-27.86566667,136.6783306,STP
SAASTP0016,FVC-PV,10.085,32.167,0.333,7.633,10.75,-0.135,decreasing,-0.026,0.007176935,10.099,"['2012-07-31', '2015-12-01', '2016-11-30']","[0.894, 0.667, 0.665]","['2011-01-31', '2016-04-01', '2022-07-02']","[0.43, 0.343, 0.268]",SAASTP0016,-27.83496111,136.6299222,STP
SAASTP0017,FVC-PV,17.461,40.667,3,9.507,13.833,-0.136,decreasing,-0.037,0.006936829,18.266,"['2015-12-01', '2016-11-30', '2011-08-01']","[1.0, 0.999, 0.997]","['2019-11-01', '2020-11-30', '2019-03-02']","[0.966, 0.795, 0.718]",SAASTP0017,-27.83978333,136.6397306,STP
SAASTP0018,FVC-PV,3.334,17.167,0,3.773,2.25,0.008,no trend,0,0.873673618,2,"['2017-03-02', '2015-12-01', '2012-07-31']","[1.0, 1.0, 0.738]","['2011-01-01', '2012-01-01', '2012-06-01']","[1.0, 0.812, 0.329]",SAASTP0018,-28.43342778,136.4283806,SSD
SAASTP0019,FVC-PV,1.862,7.333,0,1.509,1,0.191,increasing,0.005,0.000134857,1.192,"['2016-01-31', '2016-10-31', '2011-04-02']","[1.0, 1.0, 0.642]","['2011-01-01', '2013-01-31', '2011-07-02']","[0.98, 0.897, 0.822]",SAASTP0019,-28.41965694,136.4812397,SSD
SAASTP0020,FVC-PV,1.476,3.667,0,0.814,1,0.329,increasing,0.007,5.01E-11,0.895,"['2022-01-01', '2011-04-02', '2013-06-02']","[0.999, 0.667, 0.667]","['2010-12-01', '2016-10-31', '2016-01-31']","[0.999, 0.683, 0.665]",SAASTP0020,-28.43764444,136.4588139,SSD
SAASTP0021,FVC-PV,2.361,8.333,0,1.715,0.75,0.108,increasing,0.002,0.030757703,1.825,"['2011-04-02', '2015-12-01', '2016-10-31']","[1.0, 0.997, 0.996]","['2016-10-31', '2011-08-01', '2021-11-01']","[0.644, 0.639, 0.527]",SAASTP0021,-28.40246944,136.5329083,STP
SAASTP0022,FVC-PV,2.92,24.5,0,3.434,2.667,0.213,increasing,0.01,2.20E-05,1.139,"['2023-05-02', '2024-01-31', '2013-11-01']","[0.997, 0.807, 0.629]","['2011-01-31', '2011-09-01', '2016-03-01']","[1.0, 1.0, 0.85]",SAASTP0022,-28.20560833,134.536,STP
SAASTP0023,FVC-PV,6.354,33.083,0,6.549,8.833,0.115,increasing,0.01,0.022355784,2.402,"['2023-05-02', '2015-06-02', '2011-07-02']","[0.661, 0.66, 0.372]","['2016-09-30', '2011-01-01', '2022-10-01']","[0.847, 0.541, 0.523]",SAASTP0023,-28.20895,134.5849472,STP
SAASTP0024,FVC-PV,1.843,19,0,2.365,1,0.379,increasing,0.008,3.40E-14,0.635,"['2020-08-31', '2016-07-01', '2015-12-01']","[0.753, 0.656, 0.569]","['2011-09-01', '2011-01-31', '2021-03-02']","[1.0, 1.0, 0.244]",SAASTP0024,-27.9941,134.9738889,STP
SAASTP0025,FVC-PV,1.479,11.083,0,1.357,1.333,0.377,increasing,0.009,3.91E-14,0.573,"['2020-07-31', '2013-12-01', '2018-04-02']","[0.97, 0.946, 0.737]","['2011-09-01', '2021-03-02', '2012-01-01']","[1.0, 0.163, 0.042]",SAASTP0025,-27.95972278,134.9713194,STP
SAASTP0026,FVC-PV,3.806,28.083,0,4.758,3.167,0.046,no trend,0.002,0.360211769,1.812,"['2011-09-01', '2011-01-31', '2020-08-31']","[0.856, 0.668, 0.309]","['2016-09-30', '2011-08-01', '2011-01-01']","[0.698, 0.361, 0.331]",SAASTP0026,-27.788875,134.8922078,STP
SAASTP0027,FVC-PV,2.997,19.5,0,3.518,2.083,0.091,no trend,0.003,0.068637766,1.703,"['2016-03-01', '2016-09-30', '2021-03-02']","[0.668, 0.667, 0.416]","['2011-01-31', '2011-08-01', '2016-09-30']","[0.951, 0.667, 0.433]",SAASTP0027,-27.73725,134.8437556,STP
SAASTP0028,FVC-PV,4.113,28.833,0,5.2,2.812,0.083,no trend,0.004,0.097280598,1.647,"['2016-03-01', '2016-09-30', '2011-09-01']","[0.667, 0.667, 0.615]","['2011-08-01', '2011-01-01', '2016-03-01']","[0.669, 0.661, 0.336]",SAASTP0028,-27.71056111,134.8446167,STP
SAASTP0029,FVC-PV,1.028,2,0,0.704,1.167,0.52,increasing,0.01,0,0.127,"['2022-04-02', '2013-06-02', '2014-07-02']","[1.0, 0.999, 0.323]","['2018-07-02', '2016-01-01', '2021-12-01']","[0.871, 0.736, 0.461]",SAASTP0029,-28.08707778,135.8614722,STP
SAASTP0030,FVC-PV,6.549,23.667,1,4.386,5.542,0.004,no trend,0,0.935355515,5.083,"['2022-01-31', '2017-05-02', '2015-01-01']","[0.996, 0.995, 0.732]","['2011-04-02', '2022-08-01', '2012-07-31']","[0.963, 0.852, 0.32]",SAASTP0030,-29.290199,139.179877,STP
SAASTP0031,FVC-PV,5.657,24.917,0.333,4.306,5.5,0.123,increasing,0.013,0.01466206,3.359,"['2011-08-01', '2015-01-31', '2017-04-02']","[1.0, 0.998, 0.983]","['2022-07-02', '2023-01-31', '2010-09-01']","[0.999, 0.989, 0.123]",SAASTP0031,-29.276984,139.175572,STP
SAASTP0032,FVC-PV,4.138,20.833,0,4.66,4.292,0.002,no trend,0,0.975059008,2,"['2022-01-31', '2022-09-01', '2012-10-31']","[0.998, 0.993, 0.975]","['2011-01-31', '2013-03-02', '2016-07-31']","[0.996, 0.696, 0.04]",SAASTP0032,-29.28948611,139.1824611,STP
SAASTP0033,FVC-PV,1.536,5.917,0,1.07,1.083,0.342,increasing,0.009,8.47E-12,0.713,"['2011-01-01', '2011-08-01', '2020-07-01']","[0.992, 0.98, 0.614]","['2017-03-02', '2017-10-01', '2012-10-31']","[0.996, 0.966, 0.074]",SAASTP0033,-30.3605802,135.3898437,STP
SAASTP0034,FVC-PV,2.728,11.333,0.167,1.871,1.708,-0.021,no trend,0,0.676373055,2,"['2011-09-01', '2013-04-02', '2013-11-01']","[0.999, 0.819, 0.703]","['2010-08-01', '2017-11-01', '2013-04-02']","[0.793, 0.592, 0.472]",SAASTP0034,-30.3633961,135.5281127,STP
SAASTP0036,FVC-PV,5.146,29.167,0.167,5.279,4.625,0.016,no trend,0.002,0.750341558,3.282,"['2022-01-01', '2011-12-01', '2024-04-01']","[0.991, 0.987, 0.666]","['2022-05-02', '2011-09-01', '2011-01-31']","[0.993, 0.667, 0.664]",,-27.56979183,134.144164,STP
SAASTP0037,FVC-PV,1.74,10.583,0,1.314,0.833,0.32,increasing,0.007,1.78E-10,1.056,"['2011-01-31', '2011-09-01', '2021-12-01']","[1.0, 1.0, 0.879]","['2012-08-31', '2015-04-02', '2022-05-02']","[0.931, 0.52, 0.399]",,-27.59988365,134.1343689,STP
SASMDD0001,FVC-PV,19.047,34.5,3.75,5.726,6.292,-0.149,decreasing,-0.024,0.003058065,20.286,"['2014-01-01', '2010-11-01', '2016-09-30']","[1.0, 0.962, 0.67]","['2014-01-01', '2014-09-01', '2015-11-01']","[0.865, 0.758, 0.361]",SASMDD0001,-34.00265833,140.5864083,MDD
SASMDD0002,FVC-PV,23.362,44.333,10.583,8.441,11.521,-0.194,decreasing,-0.055,0.000116911,26.428,"['2014-01-01', '2020-11-30', '2010-11-01']","[1.0, 0.907, 0.7]","['2015-11-01', '2014-01-01', '2010-08-01']","[0.975, 0.593, 0.3]",SASMDD0002,-34.01169722,140.5926917,MDD
SASMDD0003,FVC-PV,22.11,39.25,6.5,7.152,10.042,-0.218,decreasing,-0.056,1.46E-05,25.662,"['2013-12-01', '2010-12-01', '2015-01-31']","[1.0, 0.998, 0.662]","['2013-12-01', '2015-04-02', '2015-11-01']","[0.998, 0.862, 0.708]",SASMDD0003,-33.99453056,140.5856361,MDD
SASMDD0004,FVC-PV,18.674,59.625,0.417,13.049,18.5,-0.115,decreasing,-0.043,0.022649296,19.19,"['2022-05-02', '2023-04-02', '2017-08-01']","[1.0, 0.996, 0.943]","['2011-01-01', '2012-11-30', '2016-03-01']","[0.951, 0.818, 0.73]",SASMDD0004,-33.99676389,140.7346278,RIV
SASMDD0005,FVC-PV,19.588,45.667,4.417,11.612,17.625,-0.1,decreasing,-0.032,0.04660396,19.123,"['2022-05-02', '2017-09-01', '2011-11-01']","[1.0, 0.932, 0.863]","['2012-11-30', '2010-08-01', '2016-09-30']","[0.977, 0.574, 0.455]",SASMDD0005,-33.97431111,140.7257806,MDD
SASMDD0006,FVC-PV,22.716,39.667,13.583,5.207,6.938,-0.163,decreasing,-0.024,0.001242942,23.938,"['2020-09-30', '2012-07-31', '2018-10-01']","[0.995, 0.984, 0.977]","['2010-08-01', '2011-06-02', '2013-04-02']","[1.0, 0.998, 0.213]",SASMDD0006,-33.97274167,140.7272611,MDD
SASMDD0008,FVC-PV,34.39,46.917,21.75,5.796,8.875,-0.051,no trend,-0.009,0.311644007,34.832,"['2022-04-02', '2018-08-01', '2023-10-01']","[1.0, 0.984, 0.96]","['2010-08-01', '2012-10-31', '2022-08-01']","[0.652, 0.588, 0.431]",SASMDD0008,-34.04415278,140.76035,RIV
SASMDD0009,FVC-PV,20.463,36.333,10.417,6.283,9.167,-0.104,decreasing,-0.02,0.039419664,20.9,"['2022-05-02', '2012-05-01', '2018-03-02']","[0.991, 0.988, 0.559]","['2010-08-01', '2024-04-01', '2015-09-01']","[1.0, 0.579, 0.515]",SASMDD0009,-34.060282,140.69458,RIV
SASMDD0010,FVC-PV,19.304,35.75,8.5,5.669,6.625,-0.207,decreasing,-0.033,3.90E-05,20.815,"['2011-01-01', '2013-10-01', '2015-05-02']","[1.0, 1.0, 0.814]","['2014-08-01', '2013-01-31', '2013-10-01']","[0.921, 0.671, 0.487]",SASMDD0010,-34.003975,140.5750222,MDD
SASMDD0011,FVC-PV,20.076,58.75,3.083,13.062,20.125,-0.096,no trend,-0.036,0.055493837,20.532,"['2022-05-02', '2023-01-01', '2017-10-01']","[1.0, 0.972, 0.902]","['2010-10-01', '2014-12-01', '2017-08-01']","[0.993, 0.802, 0.728]",SASMDD0011,-34.01889444,140.7095278,RIV
SASMDD0012,FVC-PV,36.103,45.667,27.5,4.762,8.042,0.046,no trend,0.007,0.363743045,35.14,"['2010-08-01', '2015-12-01', '2018-08-01']","[1.0, 0.824, 0.812]","['2023-03-02', '2022-06-02', '2012-11-30']","[0.997, 0.996, 0.962]",SASMDD0012,-34.05913889,140.7543472,RIV
SASMDD0013,FVC-PV,23.307,48.056,7.833,9.39,13.792,-0.212,decreasing,-0.065,2.42E-05,27.325,"['2018-06-02', '2012-06-01', '2022-03-02']","[0.98, 0.955, 0.894]","['2010-08-01', '2024-05-01', '2011-06-02']","[1.0, 0.899, 0.495]",SASMDD0013,-34.05670278,140.7348694,RIV
SASMDD0014,FVC-PV,17.858,29.25,10.167,4.247,6.188,-0.188,decreasing,-0.024,0.000185564,19.309,"['2018-01-01', '2022-06-02', '2012-05-01']","[0.997, 0.666, 0.659]","['2010-08-01', '2018-11-01', '2023-04-02']","[0.876, 0.504, 0.314]",SASMDD0014,-34.03775833,140.7054139,RIV
SASMDD0016,FVC-PV,29.589,46,17.25,6.179,7.833,-0.319,decreasing,-0.056,2.29E-10,34.173,"['2018-10-01', '2012-07-01', '2022-08-01']","[0.95, 0.595, 0.542]","[2011.4166259765625, nan, nan]","[0.9988333582878113, nan, nan]",SASMDD0016,-33.95690278,140.7185444,MDD
SASMDD0017,FVC-PV,23.047,34.833,14.25,4.644,6.417,-0.286,decreasing,-0.038,1.33E-08,26.238,"['2018-09-01', '2012-07-01', '2010-12-01']","[1.0, 0.666, 0.386]","['2010-08-01', '2011-06-02', '2022-03-02']","[0.615, 0.613, 0.282]",SASMDD0017,-33.95559167,140.7179972,MDD
SASMDD0018,FVC-PV,19.692,31.875,13.5,4.351,6.042,-0.343,decreasing,-0.042,9.37E-12,22.856,"['2018-09-01', '2013-09-01', '2011-01-01']","[0.994, 0.989, 0.667]","['2022-03-02', '2023-03-02', '2010-08-01']","[0.692, 0.662, 0.346]",SASMDD0018,-34.00307222,140.5761167,MDD
SASRIV0001,FVC-PV,16.963,55.583,1.833,12.299,17.742,0.003,no trend,0.001,0.946288793,13.663,"['2022-05-02', '2018-06-02', '2012-10-31']","[1.0, 0.952, 0.464]","['2012-03-01', '2022-05-02', '2023-12-01']","[0.996, 0.843, 0.67]",SASRIV0001,-34.03782778,140.7559722,RIV
SASRIV0002,FVC-PV,17.084,41.333,1.667,9.943,15.583,-0.143,decreasing,-0.044,0.004572717,19.949,"['2012-05-01', '2018-04-02', '2020-04-01']","[0.963, 0.808, 0.701]","['2022-09-01', '2021-09-01', '2023-08-01']","[0.986, 0.79, 0.449]",SASRIV0002,-34.04282778,140.7806333,RIV
SATEYB0001,FVC-PV,42.262,72.833,14.333,15.005,23.375,-0.011,no trend,-0.005,0.833990055,40.495,"['2021-07-02', '2023-08-01', '2018-09-01']","[0.989, 0.91, 0.843]","['2015-11-01', '2023-12-01', '2010-10-01']","[0.999, 0.519, 0.416]",SATEYB0001,-34.50430556,138.7031889,EYB
SATEYB0002,FVC-PV,38.477,49.75,27,5.178,7.542,0.016,no trend,0.002,0.755118054,38.116,"['2020-08-31', '2024-03-01', '2013-07-02']","[1.0, 0.947, 0.571]","['2017-04-02', '2016-04-01', '2010-10-01']","[0.995, 0.994, 0.346]",SATEYB0002,-33.48902778,138.0801417,EYB
SATFLB0001,FVC-PV,38.799,50.75,25.944,4.829,7.167,0.063,no trend,0.009,0.209907979,37.724,"['2018-03-02', '2020-08-31', '2012-03-01']","[0.999, 0.996, 0.688]","['2012-04-01', '2012-11-30', '2016-06-01']","[0.982, 0.981, 0.306]",SATFLB0001,-34.60900833,138.8613444,FLB
SATFLB0002,FVC-PV,50.98,64.25,42.5,3.607,4.583,0.11,increasing,0.012,0.028371933,50.041,"['2022-11-01', '2023-10-01', '2020-07-01']","[0.72, 0.669, 0.419]","[2023.4166259765625, 2022.5833740234375, nan]","[0.41162511706352234, 0.2563750445842743, nan]",SATFLB0002,-34.68309722,138.9086,FLB
SATFLB0003,FVC-PV,52.27,61.5,36,3.915,4.5,-0.084,no trend,-0.009,0.096479167,53.119,"['2020-10-31', '2019-01-01', '2011-08-01']","[0.661, 0.642, 0.548]","['2013-09-01', '2012-10-31', '2012-04-01']","[0.87, 0.703, 0.436]",SATFLB0003,-34.576925,139.006103,FLB
SATFLB0004,FVC-PV,31.037,45.5,18.917,6.252,9.958,-0.015,no trend,-0.003,0.766524568,30.288,"['2018-01-31', '2020-10-31', '2016-06-01']","[0.829, 0.666, 0.595]","['2013-01-31', '2013-09-01', '2011-01-31']","[0.605, 0.6, 0.47]",SATFLB0004,-31.32773611,138.5673306,FLB
SATFLB0005,FVC-PV,33.886,45.5,17.5,5.971,8.444,-0.023,no trend,-0.004,0.653333293,34.826,"['2020-10-31', '2018-01-31', '2016-03-01']","[1.0, 0.96, 0.544]","['2013-01-31', '2013-09-01', '2011-03-02']","[0.994, 0.901, 0.836]",SATFLB0005,-31.31546111,138.5663667,FLB
SATFLB0006,FVC-PV,32.23,48.5,13.583,7.864,10.5,-0.288,decreasing,-0.066,1.05E-08,38.522,"['2021-06-02', '2017-11-01', '2019-09-01']","[0.933, 0.865, 0.846]","['2022-07-02', '2020-06-01', '2013-03-02']","[0.577, 0.54, 0.287]",SATFLB0006,-30.77565358,138.7975707,FLB
SATFLB0007,FVC-PV,30.731,47.167,15,7.354,10.042,0.206,increasing,0.052,4.12E-05,26.501,"['2012-01-31', '2013-11-01', '2020-11-30']","[1.0, 0.992, 0.914]","['2017-05-02', '2016-06-01', '2020-05-01']","[0.425, 0.392, 0.045]",SATFLB0007,-31.54388317,138.594579,FLB
SATFLB0008,FVC-PV,30.564,49.5,14.417,7.447,10.25,-0.094,no trend,-0.02,0.062343024,31.943,"['2020-03-01', '2017-10-01', '2014-01-31']","[0.998, 0.998, 0.623]","['2011-01-01', '2012-11-30', '2024-05-01']","[0.992, 0.989, 0.333]",SATFLB0008,-32.3209586,137.9543899,FLB
SATFLB0009,FVC-PV,45.066,53.5,34.167,4.62,6.333,-0.017,no trend,-0.003,0.738113797,45.725,"['2020-03-01', '2017-09-01', '2014-01-01']","[0.999, 0.983, 0.63]","['2013-01-31', '2011-01-31', '2013-09-01']","[0.998, 0.98, 0.622]",SATFLB0009,-32.31052104,137.9682707,FLB
SATFLB0010,FVC-PV,45.55,63.833,30.25,6.717,9.083,0.036,no trend,0.007,0.47392643,44.179,"['2020-06-01', '2018-03-02', '2023-08-01']","[0.639, 0.598, 0.585]","['2012-11-30', '2013-08-01', '2024-05-01']","[0.324, 0.311, 0.25]",SATFLB0010,-32.82851134,138.0326702,FLB
SATFLB0011,FVC-PV,55.448,76.333,43.333,5.826,6.771,-0.096,no trend,-0.015,0.056773231,56.44,"['2018-04-02', '2020-09-30', '2012-04-01']","[0.876, 0.565, 0.383]","['2023-05-02', '2022-06-02', '2012-11-30']","[0.68, 0.465, 0.317]",SATFLB0011,-32.74841999,138.1362668,FLB
